Passport,Destination,Requirement
India,Nepal,visa free
India,Bhutan,visa free
India,Maldives,90
India,Mauritius,60
India,Thailand,visa on arrival
India,Indonesia,visa on arrival
India,Sri Lanka,e-visa
India,Kenya,e-visa
India,Malaysia,30
India,Singapore,30
India,United Kingdom,visa required
India,United States,visa required
India,China,visa required
India,Australia,e-visa
India,New Zealand,eta
India,Japan,visa required
India,Germany,visa required
India,France,visa required
India,Uzbekistan,visa on arrival
India,Cambodia,visa on arrival
Afghanistan,Nepal,visa on arrival
Afghanistan,Thailand,visa on arrival
